"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-11","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057726","7.10.1.1","408.9","","","","1"
"2024-12","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057726","7.10.1.1","411.8","","","","1"
"2025-01","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057726","7.10.1.1","417.5","","","","1"
"2024-08","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057935","7.10.1.2","419.0","","","","1"
"2024-09","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057935","7.10.1.2","435.9","","","","1"
"2024-10","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057935","7.10.1.2","417.9","","","","1"
"2024-11","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057935","7.10.1.2","411.5","","","","1"
"2024-12","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057935","7.10.1.2","414.3","","","","1"
"2025-01","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057935","7.10.1.2","411.1","","","","1"
"2024-08","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057727","7.11.1.1","715.7","","","","1"
"2024-09","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057727","7.11.1.1","722.8","","","","1"
"2024-10","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057727","7.11.1.1","710.8","","","","1"
"2024-11","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057727","7.11.1.1","705.7","","","","1"
"2024-12","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057727","7.11.1.1","710.2","","","","1"
"2025-01","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057727","7.11.1.1","700.3","","","","1"
"2024-08","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057936","7.11.1.2","722.4","","","","1"
"2024-09","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057936","7.11.1.2","719.0","","","","1"
"2024-10","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057936","7.11.1.2","707.4","","","","1"
"2024-11","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057936","7.11.1.2","699.6","","","","1"
"2024-12","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057936","7.11.1.2","709.2","","","","1"
"2025-01","Ontario","2021A000235","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057936","7.11.1.2","701.4","","","","1"
"2024-08","Ontario","2021A000235","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057728","7.12.1.1","901.2","","","","1"
"2024-09","Ontario","2021A000235","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057728","7.12.1.1","912.0","","","","1"
