"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-01","Ontario","2021A000235","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064078","7.1.1.6.1.1","6614.7","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","25 to 54 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066157","7.1.1.6.1.2","6534.4","","","","1"
"2024-09","Ontario","2021A000235","Population","Total - Gender","25 to 54 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066157","7.1.1.6.1.2","6555.4","","","","1"
"2024-10","Ontario","2021A000235","Population","Total - Gender","25 to 54 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066157","7.1.1.6.1.2","6573.1","","","","1"
"2024-11","Ontario","2021A000235","Population","Total - Gender","25 to 54 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066157","7.1.1.6.1.2","6587.4","","","","1"
"2024-12","Ontario","2021A000235","Population","Total - Gender","25 to 54 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066157","7.1.1.6.1.2","6601.4","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","25 to 54 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066157","7.1.1.6.1.2","6614.7","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","55 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064105","7.1.1.7.1.1","4887.2","","","","1"
"2024-09","Ontario","2021A000235","Population","Total - Gender","55 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064105","7.1.1.7.1.1","4897.0","","","","1"
"2024-10","Ontario","2021A000235","Population","Total - Gender","55 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064105","7.1.1.7.1.1","4904.6","","","","1"
"2024-11","Ontario","2021A000235","Population","Total - Gender","55 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064105","7.1.1.7.1.1","4911.7","","","","1"
"2024-12","Ontario","2021A000235","Population","Total - Gender","55 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064105","7.1.1.7.1.1","4918.8","","","","1"
