"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-01","Ontario","2021A000235","Employment","Women+","15 years and over","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887670","7.3.3.1.2.1","24.4","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","15 years and over","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887671","7.3.3.1.3.1","14.6","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","15 years and over","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887672","7.3.3.1.4.1","30.0","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581337","7.3.3.8.1.1","3687.3","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581338","7.3.3.8.1.2","3673.2","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","15 to 64 years","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887673","7.3.3.8.2.1","23.0","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","15 to 64 years","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887674","7.3.3.8.3.1","15.1","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","15 to 64 years","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887675","7.3.3.8.4.1","29.7","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066096","7.3.3.3.1.2","154.3","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066123","7.3.3.4.1.2","328.9","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064071","7.3.3.5.1.1","3357.8","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066150","7.3.3.5.1.2","3371.5","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","25 years and over","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887679","7.3.3.5.2.1","20.2","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","25 years and over","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887680","7.3.3.5.3.1","12.0","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","25 years and over","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887681","7.3.3.5.4.1","24.2","","","","1"
